gid,sub_code,namt,name,location_t,location_e,version,sourcethm,icon_url
"172","47010",โรงเรียนมงฟอร์ตวิทยาลัย,M0NTFORT VOLLEGE PRIMARY SECTION,ถนนเจริญประเทศ,CHAROEN PRATHET RD.,"1",Schools_landmark,./0.png
"173","47040",โรงเรียนแพทย์แผนไทยชีวกโกมารภัจจ์,MASSAGE SCHOOL SHEVAGAKOMARAPAT,ถนนทิพย์เนตร,TIPPANET RD.,"1",Schools_landmark,./0.png
"174","47020",โรงเรียนไทยวิจิตรศิลป์,THAIVICHITSILP ARTS COLLAGE,ถนนเชียงใหม่-ลำปาง,CHIANG MAI-LAMPANG RD.,"1",Schools_landmark,./0.png
"175","47010",โรงเรียนบ้านบ่อสร้าง,BAN BO SANG SCHOOL,ถนนดอยสะเก็ด-บ่อสร้าง,DOI SAKET-BO SANG RD.,"1",Schools_landmark,./0.png
"176","47010",โรงเรียนเทศบาลบ้านศรีปิงเมือง,BAN SI PING MUEANG THETSABAN SCHOOL,ถนนศรีปิงเมือง,SRIPINGMUANG RD.,"1",Schools_landmark,./0.png
"177","47010",โรงเรียนท่าศาลา,THA SALA SCHOOL,,,"1",Schools_landmark,./0.png
"178","47010",โรงเรียนบ้านโป่งน้อย,BAN PONG NOI SCHOOL,,,"1",Schools_landmark,./0.png
"179","47010",โรงเรียนวิชัยวิทยา,THAILAND FATIH PRIVATE HIGH SCHOOL,ถนนช้างคลาน,CHANG KLAN RD.,"1",Schools_landmark,./0.png
"180","47040",โรงเรียนจินตศึกษาเชียงใหม่,CHINTASUEKSA CHIANG MAI SCHOOL,ถนนเชียงใหม่แลนด์,CHIANGMAILAND RD.,"1",Schools_landmark,./0.png
"181","47010",โรงเรียนบ้านหนองโค้ง,BAN NONG KHONG SCHOOL,ถนนเชียงใหม่-สันกำแพง,CHIANG MAI-SAN KAMPHAENG RD.,"1",Schools_landmark,./0.png
"182","47010",โรงเรียนมงฟอร์ตวิทยาลัย,M0NTFORT VOLLEGE PRIMARY SECTION,ทางรถไฟสายเหนือ,NORTHERN RAILWAY,"1",Schools_landmark,./0.png
"183","47010",โรงเรียนวัดเมืองสาตร,WAT MUEANG SAT SCHOOL,ทางรถไฟสายเหนือ,NORTHERN RAILWAY,"1",Schools_landmark,./0.png
"184","47010",โรงเรียนกาวิละวิทยาลัย,KAWILA WITTHAYALAI SCHOOL,ถนนโตไพบูลย์,TO PHAIBUN RD.,"1",Schools_landmark,./0.png
"185","47010",โรงเรียนวัดสันกลางใต้,WAT SAN KLANG TAI SCHOOL,,,"1",Schools_landmark,./0.png
"186","47010",โรงเรียนจันทคณานุสรณ์,CHANTHA KHANANUSON SCHOOL,ถนนป่าพร้าว 2,PAPHRAO 2 RD.,"1",Schools_landmark,./0.png
"187","47010",โรงเรียนบ้านห้วยทราย,BAN HUAI SAI SCHOOL,ถนนบ้านต้นกุกหมู่ที่ 7,BAN TON KUK MU 7 RD.,"1",Schools_landmark,./0.png
